시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
YMCA유치원,대구광역시 중구 중앙대로 375 (덕산동),1,1,12,0,8.5,0,35.866686,128.593173,29.56,69.30000000000001,1,0.345236025312582,30.695898286385177
멘사창의유치원,대구광역시 달서구 송현로8길 92 (송현동),2,2,9,3,9.0,0,35.82557,128.5515,32.11,69.30000000000001,0,0.3451073964536665,30.670492506410568
 하늘꿈어린이집,대구광역시 달서구 조암로14안길 18-9 (월성동),2,1,11,4,6.0,0,35.82400034,128.5207155,32.97,69.30000000000001,8,0.3447479296078906,30.599493387947206
대구아양초등학교,대구광역시 동구 아양로 221 (신암동),2,1,15,1,8.0,0,35.88746268,128.6374338,34.16,26.5,7,0.3443826210036391,30.527340450412872
매동초등학교,대구광역시 수성구 천을로31길 16 (매호동),2,4,32,9,10.0,0,35.84521248,128.709212,41.83,104.0,0,0.3434718236257213,30.34744677818473
 동그라미유치원,대구광역시 달서구 중흥로8길 50 (송현동),3,1,12,6,10.0,0,35.82909768,128.5540861,32.11,69.30000000000001,0,0.3433078231094974,30.31505466131426
 본영어린이집,대구광역시 달서구 와룡로2길 16 (본동),2,0,12,3,8.0,0,35.83380938,128.5385895,30.61,69.30000000000001,7,0.3432053152668855,30.294808102983367
강남유치원,대구광역시 동구 신암로18길 19 (신암동),2,2,22,4,8.0,0,35.877706,128.612603,34.16,69.30000000000001,0,0.3428424552891993,30.223138799279585
파프리카유치원,대구광역시 달서구 대명천로21길 10 (성당동),1,1,5,4,6.0,0,35.83899766,128.5492888,30.44,69.30000000000001,6,0.342695998398862,30.19421176406334
아이러브유치원,대구광역시 북구 구암로60길 45-14 (구암동),2,2,11,2,9.0,0,35.9382737,128.5688728,31.82,69.30000000000001,2,0.3420619259812236,30.068974671343195
 아이세상유치원,대구광역시 달서구 선원로37남길 13 (이곡동),5,1,16,6,8.0,0,35.85954502,128.5133311,34.32,69.30000000000001,7,0.34168001935703074,29.993543420946565
 리더스유치원,대구광역시 북구 학정동로13길 12 (학정동),5,16,37,15,9.0,1,35.9502955,128.5665514,44.54,69.30000000000001,8,0.34088264556103876,29.836052299674975
침산초등학교,대구광역시 북구 성북로 25 (침산동),3,3,35,5,9.0,0,35.8911138,128.5850731,37.06,192.75,9,0.34059830672210767,29.77989188558887
삼덕유치원,대구광역시 수성구 지범로48길 27 (범물동),3,3,21,5,10.0,0,35.81448071,128.6438055,36.31,69.30000000000001,0,0.3405581787655368,29.771966121152605
개미유치원,대구광역시 달서구 상원로3길 19-5 (상인동),5,1,10,6,6.0,0,35.81100225,128.5353256,36.08,69.30000000000001,18,0.34021927224277154,29.70502791908872
