시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,읍면동
학남어린이집,대구광역시 북구 주좌길 34 (학정동),0,0,0,0,,1,35.95070348,128.5692323,국우동
학남초등학교,대구광역시 북구 학정동로 23 (국우동),2,3,23,4,,0,35.9462397,128.5662836,국우동
학정초등학교,대구광역시 북구 학남로 32 (학정동),6,2,28,6,,1,35.94822675,128.568978,국우동
해와달어린이집,대구광역시 북구 도남길 57-1 (국우동),1,2,12,6,,0,35.9540283,128.5805954,국우동
효성유치원,대구광역시 북구 동암로37길 17 (국우동),3,1,13,8,,0,35.9448653,128.5710848,국우동
꿈나무어린이집,대구광역시 중구 남산로1길 46-5 (남산동),2,1,9,3,9,0,35.85848306,128.5805841,남산동
남산교회어린이집,대구광역시 중구 관덕정길 16 (남산동),2,1,12,5,8,0,35.8650401,128.590565,남산동
남산초등학교,대구광역시 중구 남산로 70 (남산동),3,6,62,5,20.5,0,35.863204,128.5827598,남산동
대구삼성어린이집,대구광역시 중구 달구벌대로 2016-40 (남산동),2,1,20,4,7.5,0,35.864469,128.584301,남산동
명덕초등학교,대구광역시 중구 남산로2길 125 (남산동),12,10,88,23,9.5,0,35.85754073,128.5890267,남산동
백합어린이집,대구광역시 중구 남산로4길 111 (남산동),1,0,12,0,10.5,0,35.86232188,128.5860582,남산동
보나유치원,대구광역시 중구 남산로7길 86 (남산동),2,0,0,0,9,0,35.860456,128.579243,남산동
성모유치원,대구광역시 중구 남산로4길 78 (남산동),3,1,25,9,10.5,0,35.86070072,128.5857647,남산동
경운초등학교,대구광역시 서구 평리로54길 16 (내당동),19,7,14,26,10,0,35.86087951,128.552788,내당동
내서초등학교,대구광역시 서구 달구벌대로371길 35 (내당동),13,8,28,20,9,0,35.86381875,128.5667588,내당동
다인어린이집,대구광역시 서구 달서로7길 9 (내당동),4,0,4,2,30,0,35.8649326,128.5700955,내당동
동양유치원,대구광역시 서구 평리로78길 8-12 (내당동),2,1,3,4,7,0,35.8654976,128.5651622,내당동
두류초등학교,대구광역시 서구 달구벌대로357길 22 (내당동),13,5,13,21,8,0,35.8616275,128.559932,내당동
상지유치원,대구광역시 서구 달서로 33 (내당동),7,2,20,7,8,0,35.86586634,128.5703329,내당동
세화유치원,대구광역시 서구 서대구로5길 56 (내당동),6,4,15,6,12,0,35.86000712,128.5504904,내당동
우주과학유치원,대구광역시 북구 오봉로6길 9-1 (노원동1가),3,3,14,2,,0,35.8903643,128.5776159,노원동
남동초등학교,대구광역시 달성군 논공읍 논공로 258 ,4,2,29,0,,0,35.72463823,128.456469,논공읍
논공어린이집,대구광역시 달성군 논공읍 논공로23길 6-15 ,2,1,13,2,,0,35.730295,128.4470703,논공읍
대구금포초등학교,대구광역시 달성군 논공읍 금포초등길 28 ,21,4,63,2,,0,35.77429302,128.4254986,논공읍
대구논공초등학교,대구광역시 달성군 논공읍 논공로7길 41 ,0,0,0,0,,0,35.73103879,128.4376482,논공읍
대구북동초등학교,대구광역시 달성군 논공읍 논공로11길 18 ,15,15,96,22,,0,35.72947978,128.4413202,논공읍
대영유치원,대구광역시 달성군 논공읍 논공중앙로22길 47 ,6,1,17,6,,0,35.72369633,128.4498426,논공읍
스탠포드어린이집,대구광역시 달성군 논공읍 논공로5길 198 ,0,0,0,0,,0,35.73015484,128.446495,논공읍
신영유치원,대구광역시 달성군 논공읍 논공로17길 14 ,0,0,0,0,,0,35.72964561,128.4429589,논공읍
이튼어린이집,대구광역시 달성군 논공읍 논공로17길 16-8 ,0,0,0,0,,0,35.72968405,128.4431574,논공읍
꿈이있는 숲속유치원(꿈숲유치원),대구광역시 달성군 다사읍 다사로 64 ,0,0,0,0,,0,35.86624596,128.4591398,다사읍
대구다사초등학교,대구광역시 달성군 다사읍 다사로 86 ,7,2,18,4,,0,35.8694288,128.4584848,다사읍
대구대실유치원,대구광역시 달성군 다사읍 대실역남로1길 29 ,0,0,0,0,,1,35.85260229,128.4676236,다사읍
대구대실초등학교,대구광역시 달성군 다사읍 대실역남로1길 31 ,6,5,76,16,,1,35.85308854,128.4678979,다사읍
대구도림초등학교,대구광역시 달성군 다사읍 서재로26길 94 ,3,1,47,3,,0,35.878165,128.4997991,다사읍
대구서재초등학교,대구광역시 달성군 다사읍 서재로 100 ,10,6,49,13,,0,35.87192218,128.4983801,다사읍
대구세천초등학교,대구광역시 달성군 다사읍 세천로 182-9 ,2,5,32,4,,0,35.87434699,128.4814697,다사읍
대구아이누리유치원,대구광역시 달성군 논공읍 논공로15길 20-14 ,0,0,0,0,,0,35.86383095,128.4662651,다사읍
대구죽곡초등학교,대구광역시 달성군 다사읍 죽곡1길 18 ,6,7,74,24,,0,35.85679928,128.463332,다사읍
대자연유치원,대구광역시 달성군 다사읍 서재본1길 9-10 ,4,0,0,0,,0,35.873568,128.4950751,다사읍
